time,throughput_mbps
0.0,0.0
0.20000004768371582,45.32
0.40000009536743164,22.0
0.6000001430511475,24.76
0.8000001907348633,8.28
1.000000238418579,35.44
1.200000286102295,8.44
1.4000003337860107,8.64
1.6000003814697266,16.84
1.8000004291534424,38.6
2.000000476837158,27.52
2.200000524520874,3.12
2.40000057220459,34.4
2.6000006198883057,22.56
2.8000006675720215,152.2
3.0000007152557373,60.68
3.200000762939453,93.4
3.400000810623169,15.0
3.6000008583068848,1.76
3.8000009059906006,20.24
4.000000953674316,40.6
4.200001001358032,7.64
4.400001049041748,52.68
4.600001096725464,49.44
4.80000114440918,0.8
5.0000011920928955,0.68
5.200001239776611,21.32
5.400001287460327,21.64
5.600001335144043,28.4
5.800001382827759,36.04
6.000001430511475,112.04
6.20000147819519,47.12
6.400001525878906,8.6
6.600001573562622,26.72
6.800001621246338,5.16
7.000001668930054,251.88
7.2000017166137695,113.04
7.400001764297485,81.16
7.600001811981201,59.6
7.800001859664917,246.68
8.000001907348633,4.6
8.200001955032349,63.52
8.400002002716064,19.72
8.60000205039978,22.36
8.800002098083496,105.16
9.000002145767212,36.92
9.200002193450928,82.28
9.400002241134644,11.4
9.60000228881836,36.76
9.800002336502075,1.36
10.000002384185791,121.88
10.200002431869507,76.36
10.400002479553223,53.28
10.600002527236938,99.88
10.800002574920654,71.44
11.00000262260437,54.28
11.200002670288086,85.4
11.400002717971802,77.52
11.600002765655518,128.44
11.800002813339233,24.8
12.00000286102295,71.68
12.200002908706665,101.4
12.40000295639038,6.76
12.600003004074097,14.28
12.800003051757812,17.48
13.000003099441528,1.52
13.200003147125244,15.08
13.40000319480896,16.64
13.600003242492676,18.16
13.800003290176392,30.32
14.000003337860107,11.48
14.200003385543823,36.92
14.400003433227539,56.36
14.600003480911255,10.64
14.80000352859497,46.88
15.000003576278687,61.12
15.200003623962402,1.92
15.400003671646118,12.84
15.600003719329834,11.08
15.80000376701355,4.68
16.000003814697266,15.52
16.20000386238098,33.72
16.400003910064697,30.68
16.600003957748413,44.36
16.80000400543213,163.68
17.000004053115845,60.52
17.20000410079956,5.72
17.400004148483276,14.76
